prefix_s,project_s,src_db_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
GACF01,TSA,GenBank,,PLN,Camptotheca acuminata,PRJNA174448,SAMN1798284,,,137311181,120298,0,No,0,0,0,No,,,2012-12-05T00:00:00Z,2012-12-05T00:00:00Z
GACH01,TSA,GenBank,,PLN,Chromolaena odorata,PRJNA174992,SAMN01166069,,tissue_type: stem,71655603,139002,0,No,0,0,0,No,,,2015-07-20T00:00:00Z,2012-12-05T00:00:00Z
GACN01,TSA,GenBank,,PLN,Gerbera hybrid cultivar,PRJNA179026,SAMN01801655,cultivar: Shenzhen No.5,tissue_type: ray florets,39745378,46881,0,No,0,0,0,No,,,2015-07-20T00:00:00Z,2013-03-13T00:00:00Z
GADC01,TSA,GenBank,,PLN,Plukenetia volubilis,PRJNA182191,SAMN01821237,,tissue_type: seed,43085194,66310,0,No,0,0,0,No,,,2013-01-04T00:00:00Z,2013-01-04T00:00:00Z
GADF01,TSA,GenBank,,PLN,Ziziphus jujuba,PRJNA182366,,cultivar: Dongzao,"dev_stage: half-red stage and complete red stage,tissue_type: Fruit",8029,15,0,No,0,0,0,No,,,2012-12-19T00:00:00Z,2012-12-19T00:00:00Z
GAER01,TSA,GenBank,,PLN,Arachis hypogaea,PRJNA185732,"SAMN01884225,SAMN01884226,SAMN01884227,SAMN01884228",,tissue_type: seed,44455414,59189,0,No,0,0,0,No,,,2013-07-08T00:00:00Z,2013-07-08T00:00:00Z
GAFB01,TSA,GenBank,,PLN,Camelina sativa,PRJNA174600,SAMN01163691,cultivar: Celine,,64498892,53776,0,No,0,0,0,No,,,2014-01-02T00:00:00Z,2014-01-02T00:00:00Z
GAFF01,TSA,GenBank,,PLN,Medicago sativa,PRJNA179114,,,,165050037,192768,0,No,0,0,0,No,,,2014-02-18T00:00:00Z,2014-02-18T00:00:00Z
GAHK01,TSA,GenBank,,PLN,Jatropha curcas,PRJNA187138,SAMN01894327,,,35684099,45171,0,No,0,0,0,No,,,2013-12-17T00:00:00Z,2013-04-09T00:00:00Z
GAHV01,TSA,GenBank,,PLN,Nelumbo nucifera,PRJNA196449,SAMN02028153,,tissue_type: root,89311,107,0,No,0,0,0,No,,,2013-04-30T00:00:00Z,2013-04-30T00:00:00Z
GAHZ01,TSA,GenBank,,PLN,Salicornia europaea,PRJNA193210,SAMN02009301,,tissue_type: shoot,38276992,79812,0,No,0,0,0,No,,,2013-07-08T00:00:00Z,2013-07-08T00:00:00Z
GAIA01,TSA,GenBank,,PLN,Salicornia europaea,PRJNA193210,SAMN02009302,,tissue_type: shoot,41252568,83157,0,No,0,0,0,No,,,2013-07-08T00:00:00Z,2013-07-08T00:00:00Z
GAIC01,TSA,GenBank,,PLN,Solanum torvum,PRJNA196896,,strain: SW,"dev_stage: first to second leaf,tissue_type: roots",17935319,35275,0,No,0,0,0,No,,,2013-08-30T00:00:00Z,2013-08-30T00:00:00Z
GAIG01,TSA,GenBank,,PLN,Arachis hypogaea,PRJNA181974,SAMN02028137,cultivar: Luhua14,,22819884,50090,0,No,0,0,0,No,,,2014-06-16T00:00:00Z,2014-06-16T00:00:00Z
GAIP01,TSA,GenBank,,PLN,Litchi chinensis,PRJNA194467,SAMN01992472,,"tissue_type: Fruitlet\, pericarp\, aril and seed",27745556,47095,0,No,0,0,0,No,,,2013-08-19T00:00:00Z,2013-08-19T00:00:00Z
GAJR01,TSA,GenBank,,PLN,Gentiana macrophylla,PRJNA200445,SAMN02086079,,dev_stage: Flowering,29033291,42904,0,No,0,0,0,No,,,2014-08-06T00:00:00Z,2014-01-02T00:00:00Z
GAJT01,TSA,GenBank,,PLN,Coffea arabica,PRJNA42175,,,,4236,4,4,Yes,0,0,0,No,,,2013-06-03T00:00:00Z,2013-06-03T00:00:00Z
GAJU01,TSA,GenBank,,PLN,Coffea racemosa,PRJNA205284,,,tissue_type: fruit,3830,4,4,Yes,0,0,0,No,,,2013-06-03T00:00:00Z,2013-06-03T00:00:00Z
GAJZ01,TSA,GenBank,,PLN,Prunus avium,PRJNA73727,,cultivar: Regina,tissue_type: fruit,13448386,7762,0,No,0,0,0,No,,,2013-10-21T00:00:00Z,2013-06-17T00:00:00Z
GAKC01,TSA,GenBank,,PLN,Silene latifolia,PRJNA202865,,,tissue_type: flower bud,58363,135,135,Yes,0,0,0,No,,,2013-07-12T00:00:00Z,2013-07-03T00:00:00Z
GAKE01,TSA,GenBank,,PLN,Thlaspi arvense,PRJNA183631,,,tissue_type: cotyledons; roots; leaves; stems; flowers; seed pods,41364074,33315,0,No,0,0,0,No,,,2014-01-31T00:00:00Z,2013-06-10T00:00:00Z
GAKH01,TSA,GenBank,,PLN,Vitis vinifera,PRJNA203687,,"cultivar: Tannat,isolate: UY11",,166561273,112925,0,No,0,0,0,No,,,2014-02-26T00:00:00Z,2014-02-26T00:00:00Z
GAKK01,TSA,GenBank,,PLN,Nothapodytes nimmoniana,PRJNA207019,SAMN02190965,,tissue_type: stem,290869,995,0,No,0,0,0,No,,,2015-07-20T00:00:00Z,2014-07-08T00:00:00Z
GALN01,TSA,GenBank,,PLN,Persicaria minor,PRJNA208436,SAMN02211834,,tissue_type: root,200175375,477844,0,No,0,0,0,No,,,2013-09-03T00:00:00Z,2013-09-03T00:00:00Z
GALR01,TSA,GenBank,,PLN,Pyrus pyrifolia,PRJNA195551,SAMN02213823,,"dev_stage: 80-d fruit,tissue_type: pericarp",26319243,23157,0,No,0,0,0,No,,,2014-03-06T00:00:00Z,2013-07-16T00:00:00Z
GALU01,TSA,GenBank,,PLN,Crataegus pinnatifida,PRJNA205404,SAMN02202180,,,35101594,51544,0,No,0,0,0,No,,,2013-09-24T00:00:00Z,2013-07-17T00:00:00Z
GALV01,TSA,GenBank,,PLN,Gossypium hirsutum,PRJNA203021,SAMN02144180,cultivar: TM-1,,62725630,63356,0,No,0,0,0,No,,,2014-01-08T00:00:00Z,2014-01-08T00:00:00Z
GALY01,TSA,GenBank,,PLN,Ipomoea purpurea,PRJNA175931,"SAMN01729313,SAMN01729314,SAMN01729315,SAMN01729316,SAMN01729317,SAMN01729318",,"dev_stage: petals 114 hours before flowering; sepals 114 hours before flowering; petals 90 hours before flowering; colored limb 60 hours before flowering; floral tube 60 hours before flowering; young leaves about 1.7 cm in diameter,tissue_type: petals; sepals; petals; limb; tube; leafs",70514753,86691,0,No,0,0,0,No,,,2015-07-20T00:00:00Z,2013-11-22T00:00:00Z
GALZ01,TSA,GenBank,,PLN,Actinidia chinensis,PRJNA210597,,cultivar: Hongyang,"dev_stage: 70 days of anthesis,tissue_type: fruit",14555796,10000,0,No,0,0,0,No,,,2016-02-09T00:00:00Z,2016-02-09T00:00:00Z
GAMA01,TSA,GenBank,,PLN,Actinidia chinensis,PRJNA210597,,cultivar: Hongyang,"dev_stage: 70 days of anthesis,tissue_type: fruit",24728890,20000,0,No,0,0,0,No,,,2016-01-07T00:00:00Z,2016-01-07T00:00:00Z
GAMB01,TSA,GenBank,,PLN,Actinidia chinensis,PRJNA210597,,cultivar: Hongyang,"dev_stage: 70 days of anthesis,tissue_type: fruit",18739216,26103,0,No,0,0,0,No,,,2016-01-07T00:00:00Z,2016-01-07T00:00:00Z
GAMH01,TSA,GenBank,,PLN,Salicornia europaea,PRJNA213571,SAMN02296709,,tissue_type: Root,51714806,112198,0,No,0,0,0,No,,,2015-01-05T00:00:00Z,2015-01-05T00:00:00Z
GAMI01,TSA,GenBank,,PLN,Salicornia europaea,PRJNA213571,SAMN02296708,,tissue_type: Root,48361971,99894,0,No,0,0,0,No,,,2015-01-06T00:00:00Z,2015-01-06T00:00:00Z
GAMJ01,TSA,GenBank,,PLN,Pisum sativum,PRJNA211622,,,,57912001,68581,0,No,0,0,0,No,,,2014-02-18T00:00:00Z,2014-02-07T00:00:00Z
GAMK01,TSA,GenBank,,PLN,Phaseolus vulgaris,PRJNA212729,,,,103891288,121465,0,No,0,0,0,No,,,2014-07-09T00:00:00Z,2014-07-09T00:00:00Z
GAMW01,TSA,GenBank,,PLN,Rhazya stricta,PRJNA215242,,,tissue_type: Leaf,45715479,27617,0,No,0,0,0,No,,,2014-01-30T00:00:00Z,2014-01-30T00:00:00Z
GANE01,TSA,GenBank,,PLN,Stevia rebaudiana,PRJNA209090,SAMN02228696,,tissue_type: mature leaf,25972906,29692,0,No,0,0,0,No,,,2013-08-29T00:00:00Z,2013-08-29T00:00:00Z
GANF01,TSA,GenBank,,PLN,Momordica charantia,PRJNA213805,SAMN02296947,cultivar: gynoecious line Gy323,tissue_type: shoot; root; buds; young leaves,57401152,54667,0,No,0,0,0,No,,,2013-08-29T00:00:00Z,2013-08-29T00:00:00Z
GANG01,TSA,GenBank,,PLN,Momordica charantia,PRJNA213805,SAMN02296947,cultivar: monoecious line DRAR1,tissue_type: shoot; root; buds; young leaves,54761763,51326,0,No,0,0,0,No,,,2013-08-29T00:00:00Z,2013-08-29T00:00:00Z
GANI01,TSA,GenBank,,PLN,Karelinia caspia,PRJNA203533,"SAMN02194678,SAMN02194677",,tissue_type: plant tissue,70112993,107092,0,No,0,0,0,No,,,2014-09-03T00:00:00Z,2014-09-03T00:00:00Z
GANK01,TSA,GenBank,,PLN,Paeonia suffruticosa,PRJNA214740,,cultivar: Luoyang Hong,tissue_type: petals,151515,173,0,Yes,0,0,0,No,,,2013-11-01T00:00:00Z,2013-11-01T00:00:00Z
GANR01,TSA,GenBank,,PLN,Macrotyloma uniflorum,PRJNA216977,"SAMN02339022,SAMN02339023,SAMN02339024,SAMN02339025,SAMN02339026,SAMN02339027,SAMN02339028,SAMN02339029",,,35588179,27997,0,No,0,0,0,No,,,2015-09-09T00:00:00Z,2015-09-09T00:00:00Z
GAOK01,TSA,GenBank,,PLN,Cercis gigantea,PRJNA217486,SAMN02333627,,tissue_type: young roots; tender shoots; young leaves and flower buds,103369461,77024,0,No,0,0,0,No,,,2014-09-29T00:00:00Z,2014-09-29T00:00:00Z
GAON01,TSA,GenBank,,PLN,Cuscuta pentagona,PRJNA217944,,,tissue_type: seed; seedling; stem; prehaustoria; haustoria; flower,311859841,275367,0,No,0,0,0,No,,,2015-04-07T00:00:00Z,2014-01-07T00:00:00Z
GAOO01,TSA,GenBank,,PLN,Prosopis alba,PRJNA218545,SAMN02351484,,tissue_type: seedlings,31582696,54662,0,No,0,0,0,No,,,2013-10-28T00:00:00Z,2013-10-28T00:00:00Z
GAOS01,TSA,GenBank,,PLN,Notholithocarpus densiflorus,PRJNA215162,"SAMN02302591,SAMN02302592,SAMN02302593,SAMN02302594",,tissue_type: leaf,43452124,48319,0,No,0,0,0,No,,,2014-02-11T00:00:00Z,2014-02-11T00:00:00Z
GAOU01,TSA,GenBank,,PLN,Trifolium pratense,PRJNA219226,,,,41716834,45181,0,No,0,0,0,No,,,2014-06-17T00:00:00Z,2013-10-25T00:00:00Z
GAOW01,TSA,GenBank,,PLN,Jatropha curcas,PRJNA219354,SAMN02356859,,"isolation_source: plants were germinated from seeds which were collected from six countries: Costa Rica\, Fiji\, Mexico\, Tanzania\, India and Indonesia,tissue_type: leaf; callus",9517478,21021,0,No,0,0,0,No,,,2014-10-01T00:00:00Z,2014-10-01T00:00:00Z
GAPC01,TSA,GenBank,,PLN,Mangifera indica,PRJNA192676,,,tissue_type: Leaves,12943341,27595,0,No,0,0,0,No,,,2013-11-25T00:00:00Z,2013-11-25T00:00:00Z
GAPX01,TSA,GenBank,,PLN,Amaranthus tricolor,PRJNA202395,SAMN02142107,,"dev_stage: Young seedling,tissue_type: In vitro plantlet",39518583,45529,0,No,0,0,0,No,,,2013-12-06T00:00:00Z,2013-12-06T00:00:00Z
GAPY01,TSA,GenBank,,PLN,Amaranthus tricolor,PRJNA202395,SAMN02142109,,"dev_stage: Flower bud,tissue_type: In vitro plantlet",49377942,66172,0,No,0,0,0,No,,,2013-12-06T00:00:00Z,2013-12-06T00:00:00Z
GAPZ01,TSA,GenBank,,PLN,Amaranthus tricolor,PRJNA202395,SAMN02142110,,"dev_stage: Flowering,tissue_type: In vitro plantlet",48980724,66486,0,No,0,0,0,No,,,2013-12-06T00:00:00Z,2013-12-06T00:00:00Z
GAQA01,TSA,GenBank,,PLN,Amaranthus tricolor,PRJNA202395,SAMN02142108,,"dev_stage: Adult seedling,tissue_type: In vitro plantlet",29222106,59151,0,No,0,0,0,No,,,2013-12-06T00:00:00Z,2013-12-06T00:00:00Z
GAQC01,TSA,GenBank,,PLN,Cuscuta suaveolens,PRJNA194081,SAMN01986148,,,15388870,15443,0,No,0,0,0,No,,,2014-01-08T00:00:00Z,2014-01-08T00:00:00Z
GAQD01,TSA,GenBank,,PLN,Cuscuta pentagona,PRJNA222591,SAMN02371539,,,12676948,14304,0,No,0,0,0,No,,,2015-01-06T00:00:00Z,2015-01-06T00:00:00Z
GAQP01,TSA,GenBank,,PLN,Gardenia jasminoides,PRJNA215928,SAMN02353739,cultivar: Pelion,,74747320,100102,0,No,0,0,0,No,,,2014-07-23T00:00:00Z,2014-07-23T00:00:00Z
GDLT01,TSA,GenBank,,PLN,Tectona grandis,PRJNA287604,"SAMN03784591,SAMN03784592",,,6225669,2413,0,No,0,0,0,No,,,2015-09-18T00:00:00Z,2015-09-18T00:00:00Z
GDQF01,TSA,GenBank,,PLN,Erigeron breviscapus,PRJNA293262,"SAMN04002518,SAMN04002519,SAMN04002520,SAMN04002521,SAMN04002522,SAMN04002523",,,134475742,182087,0,No,0,0,0,No,,,2015-09-09T00:00:00Z,2015-09-09T00:00:00Z
GDQI01,TSA,GenBank,,PLN,Casuarina equisetifolia,PRJNA294034,SAMN04013498,cultivar: ITCCE001,"dev_stage: V2,tissue_type: Stem",34544465,37902,0,No,0,0,0,No,,,2015-09-14T00:00:00Z,2015-09-14T00:00:00Z
GDQK01,TSA,GenBank,,PLN,Casuarina equisetifolia,PRJNA294034,SAMN04013496,cultivar: ITCCE001,"dev_stage: V2,tissue_type: Needle",12967892,12549,0,No,0,0,0,No,,,2015-09-14T00:00:00Z,2015-09-14T00:00:00Z
GDQL01,TSA,GenBank,,PLN,Casuarina equisetifolia,PRJNA294034,SAMN04013497,cultivar: ITCCE001,"dev_stage: V2,tissue_type: root",13939168,13189,0,No,0,0,0,No,,,2015-09-14T00:00:00Z,2015-09-14T00:00:00Z
GDQM01,TSA,GenBank,,PLN,Casuarina equisetifolia,PRJNA294034,SAMN04013498,cultivar: ITCCE001,"dev_stage: V2,tissue_type: stem",11766913,11108,0,No,0,0,0,No,,,2015-09-14T00:00:00Z,2015-09-14T00:00:00Z
GDQO01,TSA,GenBank,,PLN,Aethionema carneum,PRJNA293006,SAMN03995892,,"dev_stage: from seedling to adult,tissue_type: leaves\, roots\, shoots\, flowers and fruits",48087634,48442,0,No,0,0,0,No,,,2015-11-03T00:00:00Z,2015-11-03T00:00:00Z
GDQW01,TSA,GenBank,,PLN,Panax ginseng,PRJNA264354,"SAMN03121625,SAMN03121626,SAMN03121627,SAMN03121628,SAMN03121629,SAMN03121630,SAMN03121631,SAMN03121632,SAMN03121633,SAMN03121634,SAMN03121635,SAMN03121636,SAMN03121637,SAMN03121638,SAMN03121639,SAMN03121640,SAMN03121641,SAMN03121642",,,271631433,190149,0,No,0,0,0,No,,,2015-09-22T00:00:00Z,2015-09-22T00:00:00Z
GDRI01,TSA,GenBank,,PLN,Aethionema grandiflorum,PRJNA293008,SAMN03995894,,"dev_stage: from seedling to adult,tissue_type: leaves\, shoots",14856006,18302,0,No,0,0,0,No,,,2015-10-07T00:00:00Z,2015-10-07T00:00:00Z
GDRJ01,TSA,GenBank,,PLN,Cleome droserifolia,PRJNA293009,SAMN03995898,,"dev_stage: adult,tissue_type: leaves\, shoots",57154130,54273,0,No,0,0,0,No,,,2015-10-07T00:00:00Z,2015-10-07T00:00:00Z
GDRX01,TSA,GenBank,,PLN,Moriera spinosa,PRJNA293034,SAMN03996580,,"dev_stage: adult,tissue_type: leaves\, meristem",55314835,60736,0,No,0,0,0,No,,,2015-10-13T00:00:00Z,2015-10-13T00:00:00Z
GDRZ01,TSA,GenBank,,PLN,Leucaena leucocephala,PRJNA296824,SAMN04108792,cultivar: K636,tissue_type: root,106114242,246373,0,No,0,0,0,No,,,2015-10-28T00:00:00Z,2015-10-28T00:00:00Z
GDSA01,TSA,GenBank,,PLN,Leucaena leucocephala,PRJNA296824,SAMN04108793,cultivar: K636,tissue_type: shoot,103113573,236380,0,No,0,0,0,No,,,2015-10-28T00:00:00Z,2015-10-28T00:00:00Z
GDTL01,TSA,GenBank,,PLN,Pisum sativum,PRJNA284856,SAMN03733554,cultivar: SGE,tissue_type: root tips,31253734,37264,0,No,0,0,0,No,,,2016-08-02T00:00:00Z,2016-08-02T00:00:00Z
GDTM01,TSA,GenBank,,PLN,Pisum sativum,PRJNA284856,SAMN03733514,cultivar: SGE,tissue_type: nodules,50900086,58195,0,No,0,0,0,No,,,2016-11-01T00:00:00Z,2016-11-01T00:00:00Z
GDUL01,TSA,GenBank,,PLN,Olea europaea,PRJNA185390,SAMN01883160,cultivar: Istrska belica,"host: 4146,isolation_source: fruits",32762373,71824,0,No,0,0,0,No,,,2015-10-28T00:00:00Z,2015-10-28T00:00:00Z
GDZW01,TSA,GenBank,,PLN,Solanum chacoense,PRJNA299204,SAMN04195171,cultivar: G4,"dev_stage: flowers at anthesis,tissue_type: ovule",68738005,47087,0,No,0,0,0,No,,,2015-11-10T00:00:00Z,2015-11-10T00:00:00Z
GDZX01,TSA,GenBank,,PLN,Solanum chacoense,PRJNA299204,"SAMN04195171,SAMN04195172,SAMN04195173,SAMN04195175",,,92390924,53303,0,No,0,0,0,No,,,2015-11-10T00:00:00Z,2015-11-10T00:00:00Z
GEAC01,TSA,GenBank,,PLN,Gevuina avellana,PRJNA299715,"SAMN04214832,SAMN04214833,SAMN04214834,SAMN04214835",,tissue_type: young leaf primordia,99535629,185089,0,No,0,0,0,No,,,2015-11-10T00:00:00Z,2015-11-10T00:00:00Z
GEBJ01,TSA,GenBank,,PLN,Casuarina equisetifolia,PRJNA299712,SAMN04212083,,tissue_type: leaf,139335055,118167,0,No,0,0,0,No,,,2015-11-17T00:00:00Z,2015-11-17T00:00:00Z
GEDD01,TSA,GenBank,,PLN,Nicotiana attenuata,PRJNA223344,SAMN02378603,breed: 30x inbred,,17987,5,5,Yes,0,0,0,No,,,2016-03-18T00:00:00Z,2016-03-18T00:00:00Z
GEDG01,TSA,GenBank,,PLN,Solanum chacoense,PRJNA299204,"SAMN04195171,SAMN04195172,SAMN04195173,SAMN04195175",,,50218226,42873,32240,Yes,0,0,0,No,,,2015-12-21T00:00:00Z,2015-12-21T00:00:00Z
GEDU01,TSA,GenBank,,PLN,Jatropha curcas,PRJNA284810,SAMN03733282,cultivar: GZQX,"dev_stage: flower bud differentiated until it was mature,tissue_type: flower buds",57202456,57894,0,No,0,0,0,No,,,2016-01-07T00:00:00Z,2016-01-07T00:00:00Z
GEEB01,TSA,GenBank,,PLN,Senna alexandrina,PRJNA252646,"SAMN02854320,SAMN02854321",cultivar: Sona,,71959830,43361,0,No,0,0,0,No,,,2016-01-20T00:00:00Z,2016-01-20T00:00:00Z
GEEC01,TSA,GenBank,,PLN,Mangifera indica,PRJNA279829,SAMN03457163,cultivar: Amrapali,"dev_stage: mature tree,tissue_type: green leaf",18432326,35182,0,No,0,0,0,No,,,2017-05-01T00:00:00Z,2017-01-03T00:00:00Z
GEED01,TSA,GenBank,,PLN,Hibiscus cannabinus,PRJNA295790,SAMN04088572,cultivar: kenaf,"dev_stage: seeding,tissue_type: tissues including leaf\, root\, stem shoot\, stem tip and stem bast",75946761,57483,0,No,0,0,0,No,,,2016-03-31T00:00:00Z,2016-01-11T00:00:00Z
GEEH01,TSA,GenBank,,PLN,Hieracium piloselloides subsp. praealtum,PRJNA284533,"SAMN03734829,SAMN03734830,SAMN03734831,SAMN03734832,SAMN03734833,SAMN03734834,SAMN03734835,SAMN03734836,SAMN03734837,SAMN03734838,SAMN03734839,SAMN03734840,SAMN03734841",,,62444199,145952,0,No,0,0,0,No,,,2018-01-02T00:00:00Z,2018-01-02T00:00:00Z
GEEQ01,TSA,GenBank,,PLN,Oxybasis rubra,PRJNA305086,SAMN04316940,,tissue_type: whole plant,35935722,35090,0,No,0,0,0,No,,,2016-03-30T00:00:00Z,2016-03-30T00:00:00Z
GEER01,TSA,GenBank,,PLN,Camellia reticulata,PRJNA297756,"SAMN04145467,SAMN04145468,SAMN04145469,SAMN04145470,SAMN04145471",,,95199611,139145,0,No,0,0,0,No,,,2016-05-02T00:00:00Z,2016-05-02T00:00:00Z
GEET01,TSA,GenBank,,PLN,Physalis peruviana,PRJNA67621,SAMN00216742,,,14016979,11497,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
GEFP01,TSA,GenBank,,PLN,Arachis hypogaea,PRJNA251584,SAMN02837507,cultivar: Minhua6,"tissue_type: Eight tissues of root\, stem\, leaf\, flower\, peg\, pod perecarp\, testa and embryo of different developing stages and young seedlings",32851897,47922,0,No,0,0,0,No,,,2016-03-30T00:00:00Z,2016-03-30T00:00:00Z
GEFQ01,TSA,GenBank,,PLN,Camellia sinensis,PRJNA295355,SAMN04046450,cultivar: CV. Xinyang Daye,tissue_type: leaf,162778498,129526,0,No,0,0,0,No,,,2016-02-24T00:00:00Z,2016-02-24T00:00:00Z
GEFU01,TSA,GenBank,,PLN,Paulownia tomentosa,PRJNA285426,SAMN04510846,,"dev_stage: potted seedlings,tissue_type: leaf",847490,3573,0,No,0,0,0,No,,,2017-03-23T00:00:00Z,2017-03-23T00:00:00Z
GEFV01,TSA,GenBank,,PLN,Paulownia tomentosa,PRJNA285426,SAMN04510846,,"dev_stage: potted seedlings,tissue_type: leaf",203459133,163076,0,No,0,0,0,No,,,2016-04-14T00:00:00Z,2016-04-14T00:00:00Z
GEFW01,TSA,GenBank,,PLN,Atractylodes lancea,PRJNA312017,SAMN04485107,isolate: field,"dev_stage: mature,tissue_type: roots",30590007,42106,0,No,0,0,0,No,,,2016-03-03T00:00:00Z,2016-03-03T00:00:00Z
GEFX01,TSA,GenBank,,PLN,Persicaria minor,PRJNA279327,SAMN03447945,,tissue_type: leaf,156529473,179167,0,No,0,0,0,No,,,2017-04-03T00:00:00Z,2017-04-03T00:00:00Z
GEFY01,TSA,GenBank,,PLN,Camellia oleifera,PRJNA309526,"SAMN04435349,SAMN04435350,SAMN04435351,SAMN04435352",cultivar: Xianglin 4,tissue_type: leaves,43914925,66549,0,No,0,0,0,No,,,2016-03-03T00:00:00Z,2016-03-03T00:00:00Z
GEFZ01,TSA,GenBank,,PLN,Atractylodes lancea,PRJNA312017,SAMN04485106,isolate: field,"dev_stage: mature,tissue_type: stems",31792271,42377,0,No,0,0,0,No,,,2016-03-14T00:00:00Z,2016-03-14T00:00:00Z
GEGA01,TSA,GenBank,,PLN,Atractylodes lancea,PRJNA312017,SAMN04485105,isolate: field,"dev_stage: mature,tissue_type: leaves",33609709,46614,0,No,0,0,0,No,,,2016-03-14T00:00:00Z,2016-03-14T00:00:00Z
GEGM01,TSA,GenBank,,PLN,Nicotiana tabacum,PRJNA313137,SAMN04515813,cultivar: Cuibiyihao,"dev_stage: Adult seedlings,tissue_type: Leaf and root",5724477,14594,0,No,0,0,0,No,,,2016-04-05T00:00:00Z,2016-04-05T00:00:00Z
GEHN01,TSA,GenBank,,PLN,Apios americana,PRJNA313331,"SAMN04525986,SAMN04525987,SAMN04525988,SAMN04525989,SAMN04525990,SAMN04525991,SAMN04525992,SAMN04525993,SAMN04525994,SAMN04525995,SAMN04525996,SAMN04525997,SAMN04525998,SAMN04525999",cultivar: LA-2127,"dev_stage: Flower,tissue_type: flower",113183555,96449,0,No,0,0,0,No,,,2016-06-10T00:00:00Z,2016-06-10T00:00:00Z
GEIA01,TSA,GenBank,,PLN,Hevea brasiliensis,PRJNA315070,"SAMN04549280,SAMN04549281,SAMN04549282,SAMN04549284",,,109502058,147261,0,Yes,0,0,0,No,,,2017-04-24T00:00:00Z,2017-04-24T00:00:00Z
GEIC01,TSA,GenBank,,PLN,Betula papyrifera,PRJNA312365,SAMN04497581,,tissue_type: roots,154728281,275545,0,No,0,0,0,No,,,2016-05-04T00:00:00Z,2016-04-05T00:00:00Z
GEKW01,TSA,GenBank,,PLN,Anemone flaccida,PRJNA316052,SAMN04574077,"cultivar: Changyang,isolate: Tonggubao","dev_stage: full bloom,tissue_type: leaves; rhizomes",61514989,46945,0,No,0,0,0,No,,,2016-04-05T00:00:00Z,2016-04-05T00:00:00Z
GELI01,TSA,GenBank,,PLN,Aegiceras corniculatum,PRJNA269022,SAMN03247597,cultivar: Dongzhai,"dev_stage: Seeding,tissue_type: leaf & root",30930804,49412,0,No,0,0,0,No,,,2016-05-04T00:00:00Z,2016-04-11T00:00:00Z
GELW02,TSA,GenBank,,PLN,Taxillus chinensis,PRJNA301186,"SAMN04241381,SAMN04241382,SAMN04241383",,,148511971,163215,0,No,0,0,0,No,,,2017-11-20T00:00:00Z,2017-11-20T00:00:00Z
GEMC01,TSA,GenBank,,PLN,Nasturtium officinale,PRJNA284126,SAMN03702571,,"dev_stage: vegetative,tissue_type: leaf and stem",80682288,80741,0,No,0,0,0,No,,,2016-05-24T00:00:00Z,2016-05-24T00:00:00Z
GEMG01,TSA,GenBank,,PLN,Raphanus sativus,PRJNA316891,SAMN04592457,"cultivar: NAU-LU127,isolate: RADISH leaf","dev_stage: vegetative stage and reproductive stage,tissue_type: leaf",40831203,47787,0,No,0,0,0,No,,,2016-06-27T00:00:00Z,2016-06-27T00:00:00Z
GEMV01,TSA,GenBank,,PLN,Nicotiana obtusifolia,PRJNA316803,SAMN04590144,cultivar: 1x inbred,"dev_stage: Multiple stages: seedlings\, rosette\, flowering\, seed ripening,tissue_type: Muliple tissues: seedlings\, leaves\, stems\, roots\, flower parts\, ripening seed capsules",126718535,223135,0,No,0,0,0,No,,,2018-01-02T00:00:00Z,2018-01-02T00:00:00Z
GENV01,TSA,GenBank,,PLN,Mucuna pruriens,PRJNA319685,SAMN04903470,cultivar: pruriens,"dev_stage: Leaf\, root and pod,tissue_type: Leaf",46054269,71659,0,No,0,0,0,No,,,2017-06-02T00:00:00Z,2017-06-02T00:00:00Z
GEOH01,TSA,GenBank,,PLN,Ambrosia trifida,PRJNA267208,SAMN03195640,,"dev_stage: Five node stage,tissue_type: Leaf",183354935,246544,0,No,0,0,0,No,,,2016-06-27T00:00:00Z,2016-06-27T00:00:00Z
GEOZ01,TSA,GenBank,,PLN,Pongamia pinnata,PRJNA323432,SAMN03323607,,"dev_stage: seed development stages,tissue_type: Seed",42186440,53586,0,No,0,0,0,No,,,2016-06-16T00:00:00Z,2016-06-16T00:00:00Z
GEST01,TSA,GenBank,,PLN,Trifolium repens,PRJNA324075,"SAMN05196006,SAMN05196007",,,6326152,13108,0,No,0,0,0,No,,,2016-08-02T00:00:00Z,2016-08-02T00:00:00Z
GESX01,TSA,GenBank,,PLN,Swertia japonica,PRJNA317748,"SAMN04625462,SAMN04625463",,,67775284,78917,0,No,0,0,0,No,,,2016-07-06T00:00:00Z,2016-07-06T00:00:00Z
GETJ01,TSA,GenBank,,PLN,Rosa chinensis,PRJNA325141,SAMN05220840,"cultivar: Green rose,isolate: Phyllody phenotype","dev_stage: Flower buds,tissue_type: Flower bud",26085838,9517,0,No,0,0,0,No,,,2016-07-21T00:00:00Z,2016-07-21T00:00:00Z
